staff_id	first_name	last_name	staff_type	staff_subcategory	staff_class
201	Αλέξανδρος	Παπαδόπουλος	NURSE	Βοηθός Νοσηλευτή	nurse
204	Μαρία	Ιωάννου	NURSE	Βοηθός Νοσηλευτή	nurse
207	Νικόλαος	Αντωνίου	NURSE	Βοηθός Νοσηλευτή	nurse
213	Ανδρέας	Αθανασίου	NURSE	Βοηθός Νοσηλευτή	nurse
216	Βασιλική	Οικονόμου	NURSE	Βοηθός Νοσηλευτή	nurse
219	Κωνσταντίνος	Βασιλείου	NURSE	Βοηθός Νοσηλευτή	nurse
222	Ελένη	Γεωργίου	NURSE	Βοηθός Νοσηλευτή	nurse
225	Δημήτριος	Δημητρίου	NURSE	Βοηθός Νοσηλευτή	nurse
228	Κατερίνα	Χριστοδούλου	NURSE	Βοηθός Νοσηλευτή	nurse
231	Παναγιώτης	Πετρίδης	NURSE	Βοηθός Νοσηλευτή	nurse
234	Ειρήνη	Παντελίδης	NURSE	Βοηθός Νοσηλευτή	nurse
237	Μιχαήλ	Καραγιάννης	NURSE	Βοηθός Νοσηλευτή	nurse
243	Γεώργιος	Νικολάου	NURSE	Βοηθός Νοσηλευτή	nurse
246	Σοφία	Κωνσταντίνου	NURSE	Βοηθός Νοσηλευτή	nurse
249	Ιωάννης	Αλεξίου	NURSE	Βοηθός Νοσηλευτή	nurse
252	Χριστίνα	Μιχαηλίδης	NURSE	Βοηθός Νοσηλευτή	nurse
255	Σταύρος	Σωτηρίου	NURSE	Βοηθός Νοσηλευτή	nurse
258	Δέσποινα	Μακρή	NURSE	Βοηθός Νοσηλευτή	nurse
261	Αλέξανδρος	Παπαδόπουλος	NURSE	Βοηθός Νοσηλευτή	nurse
264	Μαρία	Ιωάννου	NURSE	Βοηθός Νοσηλευτή	nurse
267	Νικόλαος	Αντωνίου	NURSE	Βοηθός Νοσηλευτή	nurse
97	Μιχαήλ	Καραγιάννης	NURSE	Νοσηλευτής	nurse
98	Δέσποινα	Μακρή	NURSE	Νοσηλευτής	nurse
101	Αλέξανδρος	Παπαδόπουλος	NURSE	Νοσηλευτής	nurse
103	Γεώργιος	Νικολάου	NURSE	Νοσηλευτής	nurse
104	Μαρία	Ιωάννου	NURSE	Νοσηλευτής	nurse
106	Σοφία	Κωνσταντίνου	NURSE	Νοσηλευτής	nurse
107	Νικόλαος	Αντωνίου	NURSE	Νοσηλευτής	nurse
109	Ιωάννης	Αλεξίου	NURSE	Νοσηλευτής	nurse
112	Χριστίνα	Μιχαηλίδης	NURSE	Νοσηλευτής	nurse
113	Ανδρέας	Αθανασίου	NURSE	Νοσηλευτής	nurse
115	Σταύρος	Σωτηρίου	NURSE	Νοσηλευτής	nurse
116	Βασιλική	Οικονόμου	NURSE	Νοσηλευτής	nurse
118	Δέσποινα	Μακρή	NURSE	Νοσηλευτής	nurse
119	Κωνσταντίνος	Βασιλείου	NURSE	Νοσηλευτής	nurse
121	Αλέξανδρος	Παπαδόπουλος	NURSE	Νοσηλευτής	nurse
122	Ελένη	Γεωργίου	NURSE	Νοσηλευτής	nurse
124	Μαρία	Ιωάννου	NURSE	Νοσηλευτής	nurse
125	Δημήτριος	Δημητρίου	NURSE	Νοσηλευτής	nurse
127	Νικόλαος	Αντωνίου	NURSE	Νοσηλευτής	nurse
128	Κατερίνα	Χριστοδούλου	NURSE	Νοσηλευτής	nurse
131	Παναγιώτης	Πετρίδης	NURSE	Νοσηλευτής	nurse
133	Ανδρέας	Αθανασίου	NURSE	Νοσηλευτής	nurse
134	Ειρήνη	Παντελίδης	NURSE	Νοσηλευτής	nurse
136	Βασιλική	Οικονόμου	NURSE	Νοσηλευτής	nurse
137	Μιχαήλ	Καραγιάννης	NURSE	Νοσηλευτής	nurse
139	Κωνσταντίνος	Βασιλείου	NURSE	Νοσηλευτής	nurse
142	Ελένη	Γεωργίου	NURSE	Νοσηλευτής	nurse
143	Γεώργιος	Νικολάου	NURSE	Νοσηλευτής	nurse
145	Δημήτριος	Δημητρίου	NURSE	Νοσηλευτής	nurse
146	Σοφία	Κωνσταντίνου	NURSE	Νοσηλευτής	nurse
148	Κατερίνα	Χριστοδούλου	NURSE	Νοσηλευτής	nurse
149	Ιωάννης	Αλεξίου	NURSE	Νοσηλευτής	nurse
151	Παναγιώτης	Πετρίδης	NURSE	Νοσηλευτής	nurse
152	Χριστίνα	Μιχαηλίδης	NURSE	Νοσηλευτής	nurse
154	Ειρήνη	Παντελίδης	NURSE	Νοσηλευτής	nurse
155	Σταύρος	Σωτηρίου	NURSE	Νοσηλευτής	nurse
157	Μιχαήλ	Καραγιάννης	NURSE	Νοσηλευτής	nurse
158	Δέσποινα	Μακρή	NURSE	Νοσηλευτής	nurse
161	Αλέξανδρος	Παπαδόπουλος	NURSE	Νοσηλευτής	nurse
163	Γεώργιος	Νικολάου	NURSE	Νοσηλευτής	nurse
164	Μαρία	Ιωάννου	NURSE	Νοσηλευτής	nurse
166	Σοφία	Κωνσταντίνου	NURSE	Νοσηλευτής	nurse
167	Νικόλαος	Αντωνίου	NURSE	Νοσηλευτής	nurse
169	Ιωάννης	Αλεξίου	NURSE	Νοσηλευτής	nurse
172	Χριστίνα	Μιχαηλίδης	NURSE	Νοσηλευτής	nurse
173	Ανδρέας	Αθανασίου	NURSE	Νοσηλευτής	nurse
175	Σταύρος	Σωτηρίου	NURSE	Νοσηλευτής	nurse
176	Βασιλική	Οικονόμου	NURSE	Νοσηλευτής	nurse
178	Δέσποινα	Μακρή	NURSE	Νοσηλευτής	nurse
179	Κωνσταντίνος	Βασιλείου	NURSE	Νοσηλευτής	nurse
187	Νικόλαος	Αντωνίου	NURSE	Νοσηλευτής	nurse
188	Κατερίνα	Χριστοδούλου	NURSE	Νοσηλευτής	nurse
191	Παναγιώτης	Πετρίδης	NURSE	Νοσηλευτής	nurse
193	Ανδρέας	Αθανασίου	NURSE	Νοσηλευτής	nurse
194	Ειρήνη	Παντελίδης	NURSE	Νοσηλευτής	nurse
196	Βασιλική	Οικονόμου	NURSE	Νοσηλευτής	nurse
197	Μιχαήλ	Καραγιάννης	NURSE	Νοσηλευτής	nurse
199	Κωνσταντίνος	Βασιλείου	NURSE	Νοσηλευτής	nurse
202	Ελένη	Γεωργίου	NURSE	Νοσηλευτής	nurse
203	Γεώργιος	Νικολάου	NURSE	Νοσηλευτής	nurse
205	Δημήτριος	Δημητρίου	NURSE	Νοσηλευτής	nurse
206	Σοφία	Κωνσταντίνου	NURSE	Νοσηλευτής	nurse
208	Κατερίνα	Χριστοδούλου	NURSE	Νοσηλευτής	nurse
209	Ιωάννης	Αλεξίου	NURSE	Νοσηλευτής	nurse
211	Παναγιώτης	Πετρίδης	NURSE	Νοσηλευτής	nurse
212	Χριστίνα	Μιχαηλίδης	NURSE	Νοσηλευτής	nurse
214	Ειρήνη	Παντελίδης	NURSE	Νοσηλευτής	nurse
215	Σταύρος	Σωτηρίου	NURSE	Νοσηλευτής	nurse
217	Μιχαήλ	Καραγιάννης	NURSE	Νοσηλευτής	nurse
218	Δέσποινα	Μακρή	NURSE	Νοσηλευτής	nurse
221	Αλέξανδρος	Παπαδόπουλος	NURSE	Νοσηλευτής	nurse
223	Γεώργιος	Νικολάου	NURSE	Νοσηλευτής	nurse
224	Μαρία	Ιωάννου	NURSE	Νοσηλευτής	nurse
226	Σοφία	Κωνσταντίνου	NURSE	Νοσηλευτής	nurse
227	Νικόλαος	Αντωνίου	NURSE	Νοσηλευτής	nurse
229	Ιωάννης	Αλεξίου	NURSE	Νοσηλευτής	nurse
232	Χριστίνα	Μιχαηλίδης	NURSE	Νοσηλευτής	nurse
233	Ανδρέας	Αθανασίου	NURSE	Νοσηλευτής	nurse
235	Σταύρος	Σωτηρίου	NURSE	Νοσηλευτής	nurse
236	Βασιλική	Οικονόμου	NURSE	Νοσηλευτής	nurse
238	Δέσποινα	Μακρή	NURSE	Νοσηλευτής	nurse
239	Κωνσταντίνος	Βασιλείου	NURSE	Νοσηλευτής	nurse
241	Αλέξανδρος	Παπαδόπουλος	NURSE	Νοσηλευτής	nurse
242	Ελένη	Γεωργίου	NURSE	Νοσηλευτής	nurse
244	Μαρία	Ιωάννου	NURSE	Νοσηλευτής	nurse
245	Δημήτριος	Δημητρίου	NURSE	Νοσηλευτής	nurse
247	Νικόλαος	Αντωνίου	NURSE	Νοσηλευτής	nurse
248	Κατερίνα	Χριστοδούλου	NURSE	Νοσηλευτής	nurse
251	Παναγιώτης	Πετρίδης	NURSE	Νοσηλευτής	nurse
253	Ανδρέας	Αθανασίου	NURSE	Νοσηλευτής	nurse
254	Ειρήνη	Παντελίδης	NURSE	Νοσηλευτής	nurse
256	Βασιλική	Οικονόμου	NURSE	Νοσηλευτής	nurse
257	Μιχαήλ	Καραγιάννης	NURSE	Νοσηλευτής	nurse
259	Κωνσταντίνος	Βασιλείου	NURSE	Νοσηλευτής	nurse
262	Ελένη	Γεωργίου	NURSE	Νοσηλευτής	nurse
263	Γεώργιος	Νικολάου	NURSE	Νοσηλευτής	nurse
265	Δημήτριος	Δημητρίου	NURSE	Νοσηλευτής	nurse
266	Σοφία	Κωνσταντίνου	NURSE	Νοσηλευτής	nurse
268	Κατερίνα	Χριστοδούλου	NURSE	Νοσηλευτής	nurse
269	Ιωάννης	Αλεξίου	NURSE	Νοσηλευτής	nurse
100	Άννα	Λάμπρου	NURSE	Προϊστάμενος	nurse
110	Αναστασία	Σταύρου	NURSE	Προϊστάμενος	nurse
120	Άννα	Λάμπρου	NURSE	Προϊστάμενος	nurse
130	Αναστασία	Σταύρου	NURSE	Προϊστάμενος	nurse
140	Άννα	Λάμπρου	NURSE	Προϊστάμενος	nurse
150	Αναστασία	Σταύρου	NURSE	Προϊστάμενος	nurse
160	Άννα	Λάμπρου	NURSE	Προϊστάμενος	nurse
170	Αναστασία	Σταύρου	NURSE	Προϊστάμενος	nurse
180	Άννα	Λάμπρου	NURSE	Προϊστάμενος	nurse
190	Αναστασία	Σταύρου	NURSE	Προϊστάμενος	nurse
200	Άννα	Λάμπρου	NURSE	Προϊστάμενος	nurse
210	Αναστασία	Σταύρου	NURSE	Προϊστάμενος	nurse
220	Άννα	Λάμπρου	NURSE	Προϊστάμενος	nurse
230	Αναστασία	Σταύρου	NURSE	Προϊστάμενος	nurse
240	Άννα	Λάμπρου	NURSE	Προϊστάμενος	nurse
250	Αναστασία	Σταύρου	NURSE	Προϊστάμενος	nurse
260	Άννα	Λάμπρου	NURSE	Προϊστάμενος	nurse
270	Αναστασία	Σταύρου	NURSE	Προϊστάμενος	nurse
