doctor_id	first_name	last_name	specialty	doctor_rank	procedure_count_current_year	top_procedure_count	procedure_gap_from_top
81	Αλέξανδρος	Παπαδόπουλος	Χειρουργική	Επιμελητής Β	0	10	10
82	Ελένη	Γεωργίου	Παθολογία	Επιμελητής Α	0	10	10
83	Γεώργιος	Νικολάου	ΜΕΘ	Επιμελητής Β	0	10	10
84	Μαρία	Ιωάννου	Επείγοντα	Επιμελητής Α	0	10	10
85	Δημήτριος	Δημητρίου	Ορθοπαιδική	Ειδικευόμενος	0	10	10
86	Σοφία	Κωνσταντίνου	Πνευμονολογική	Επιμελητής Α	0	10	10
87	Νικόλαος	Αντωνίου	Νευρολογική	Επιμελητής Β	0	10	10
88	Κατερίνα	Χριστοδούλου	Ουρολογική	Επιμελητής Α	0	10	10
89	Ιωάννης	Αλεξίου	Γαστρεντερολογία	Επιμελητής Β	0	10	10
90	Αναστασία	Σταύρου	Καρδιολογία	Ειδικευόμενος	0	10	10
